NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04-24', 'Class_1': 962682.9921568629, 'Class_2': 907086.1921568629, 'Class_3': 1139428.4039215685, 'Class_4': 2248047.125490196, 'Class_5': 3409124.952941177, 'Class_6': 3849693.219607844, 'Class_7': 3683891.6666666665, 'Class_8': 2823515.6705882354, 'Class_9': 1983738.5725490192, 'Class_10': 647267.0078431374}","{'Date': '2017-04-24', 'Class_1': 1946106.2705882352, 'Class_2': 12926092.733333334, 'Class_3': 2860184.286274511, 'Class_4': 1329455.6078431373, 'Class_5': 2123947.2666666666, 'Class_6': 426924.12941176473, 'Class_7': 25937.466666666667, 'Class_8': 11060.043137254903, 'Class_9': 3970, 'Class_10': 798}","{'Date': '2017-04-24', 'Class_1': 11886.815686274509, 'Class_2': 211229.17254901963, 'Class_3': 1037952.6235294117, 'Class_4': 950109.6392156862, 'Class_5': 892435.4823529413, 'Class_6': 1340049.956862745, 'Class_7': 2548969.882352941, 'Class_8': 3944954.2, 'Class_9': 4994925.282352942, 'Class_10': 5721962.74901961}","{'Date': '2017-04-24', 'Class_1': 4673.4862745098035, 'Class_2': 1495.1176470588234, 'Class_3': 2255.6235294117646, 'Class_4': 3582.4627450980392, 'Class_5': 15434, 'Class_6': 260858.02352941176, 'Class_7': 1471054.2235294117, 'Class_8': 1640626.3960784313, 'Class_9': 6065387.494117647, 'Class_10': 12188704.976470588}","{'Date': '2017-04-24', 'Class_1': 231619.11764705883, 'Class_2': 1098722.843137255, 'Class_3': 1334165.7137254903, 'Class_4': 2651845.8784313723, 'Class_5': 4648491.003921568, 'Class_6': 5361696.607843138, 'Class_7': 4637930.352941179, 'Class_8': 1481022.6117647062, 'Class_9': 33742.75294117647, 'Class_10': 166653.74901960787}","{'Date': '2017-04-24', 'Class_1': 193767.2745098039, 'Class_2': 614164.7411764705, 'Class_3': 805506.6274509802, 'Class_4': 878614.894117647, 'Class_5': 406930.4039215686, 'Class_6': 1190489.1490196078, 'Class_7': 6710937.019607843, 'Class_8': 7910681.843137254, 'Class_9': 2838427.5764705883, 'Class_10': 104809.27450980393}","{'Date': '2017-04-24', 'Class_1': 159093.01176470588, 'Class_2': 3537484.4235294107, 'Class_3': 2919251.7843137244, 'Class_4': 9279881.635294115, 'Class_5': 3401754.2509803916, 'Class_6': 2301992.439215686, 'Class_7': 37229.23529411765, 'Class_8': 13339.023529411765, 'Class_9': 2696, 'Class_10': 822}"
"{'Date': '2017-05-11', 'Class_1': 1399352.9529411765, 'Class_2': 684686.6784313725, 'Class_3': 753910.3725490195, 'Class_4': 1142758.0392156863, 'Class_5': 2093529.1490196076, 'Class_6': 3862613.8156862757, 'Class_7': 5322268.556862746, 'Class_8': 3950817.298039216, 'Class_9': 2568484.8392156865, 'Class_10': 793029.3843137256}","{'Date': '2017-05-11', 'Class_1': 2406679.874509804, 'Class_2': 15330788.85882353, 'Class_3': 1608691.682352941, 'Class_4': 862986.8901960783, 'Class_5': 1953675.5098039214, 'Class_6': 272872.6470588235, 'Class_7': 22577.019607843136, 'Class_8': 54719.839215686276, 'Class_9': 37590.76470588235, 'Class_10': 20868}","{'Date': '2017-05-11', 'Class_1': 57498.1137254902, 'Class_2': 279209.8941176471, 'Class_3': 1255427.8313725488, 'Class_4': 532623.5803921568, 'Class_5': 564707.7999999999, 'Class_6': 751967.3411764705, 'Class_7': 1159201.1215686277, 'Class_8': 2287013.6823529415, 'Class_9': 5905264.988235292, 'Class_10': 9778536.733333334}","{'Date': '2017-05-11', 'Class_1': 31423.858823529412, 'Class_2': 5075.905882352941, 'Class_3': 6751.0392156862745, 'Class_4': 8715.30980392157, 'Class_5': 21431.050980392156, 'Class_6': 426580.6470588235, 'Class_7': 1361996.5333333332, 'Class_8': 1011114.0901960785, 'Class_9': 3036121.670588235, 'Class_10': 16655845.980392156}","{'Date': '2017-05-11', 'Class_1': 94926.74117647059, 'Class_2': 1455206.2549019612, 'Class_3': 932884.0156862745, 'Class_4': 1508494.062745098, 'Class_5': 3971481.2, 'Class_6': 8123667.301960784, 'Class_7': 6013397.137254903, 'Class_8': 443621.1647058823, 'Class_9': 4345.03137254902, 'Class_10': 22422.305882352943}","{'Date': '2017-05-11', 'Class_1': 468265.8823529412, 'Class_2': 733745.2156862746, 'Class_3': 611581.1529411764, 'Class_4': 488684.8078431373, 'Class_5': 226751.42352941178, 'Class_6': 703979.1647058823, 'Class_7': 7598907.388235294, 'Class_8': 8484644.60392157, 'Class_9': 3177156.478431373, 'Class_10': 75549.96862745097}","{'Date': '2017-05-11', 'Class_1': 6580.129411764706, 'Class_2': 4334846.062745099, 'Class_3': 3731616.8705882356, 'Class_4': 10458149.301960783, 'Class_5': 1841288.9333333333, 'Class_6': 2089450.7137254905, 'Class_7': 49705.92941176471, 'Class_8': 23945.980392156864, 'Class_9': 7354.164705882353, 'Class_10': 5320}"
"{'Date': '2017-06-20', 'Class_1': 326124.60392156866, 'Class_2': 552265.694117647, 'Class_3': 661694.6274509805, 'Class_4': 1085185.3254901962, 'Class_5': 1543998.7215686273, 'Class_6': 1983720.4078431372, 'Class_7': 3306352.415686275, 'Class_8': 8465467.399999999, 'Class_9': 4053348.1843137257, 'Class_10': 635637.6078431372}","{'Date': '2017-06-20', 'Class_1': 4956897.43137255, 'Class_2': 13267585.494117646, 'Class_3': 2115367.1843137257, 'Class_4': 948995.5764705883, 'Class_5': 873854.1764705883, 'Class_6': 330654.41176470584, 'Class_7': 54310.529411764706, 'Class_8': 34476.18431372549, 'Class_9': 12821, 'Class_10': 18833}","{'Date': '2017-06-20', 'Class_1': 43434.168627450985, 'Class_2': 296082.6, 'Class_3': 343769.41176470584, 'Class_4': 453638.9254901961, 'Class_5': 629121.0352941174, 'Class_6': 973011.8980392157, 'Class_7': 1386047.8666666667, 'Class_8': 1957479.2274509808, 'Class_9': 3971169.294117647, 'Class_10': 12560040.560784312}","{'Date': '2017-06-20', 'Class_1': 16450, 'Class_2': 2604.6313725490195, 'Class_3': 3652.549019607843, 'Class_4': 6192.356862745099, 'Class_5': 44294.262745098036, 'Class_6': 288712.4431372549, 'Class_7': 515341.1294117647, 'Class_8': 1104889.8039215684, 'Class_9': 3335803.0823529414, 'Class_10': 17280295.729411766}","{'Date': '2017-06-20', 'Class_1': 114828.02745098039, 'Class_2': 526744.6666666667, 'Class_3': 1018654.8823529412, 'Class_4': 1761531.4862745095, 'Class_5': 2689887.372549019, 'Class_6': 5987483.231372548, 'Class_7': 9376877.482352942, 'Class_8': 1115530.5529411766, 'Class_9': 3278.6705882352944, 'Class_10': 17924.615686274505}","{'Date': '2017-06-20', 'Class_1': 75763.5411764706, 'Class_2': 123621.83137254902, 'Class_3': 514200.5215686275, 'Class_4': 617794.6392156861, 'Class_5': 286823.19215686276, 'Class_6': 953142.5568627451, 'Class_7': 4913828.741176471, 'Class_8': 11401333.321568625, 'Class_9': 3346322.341176471, 'Class_10': 380388.3019607844}","{'Date': '2017-06-20', 'Class_1': 198940.0823529412, 'Class_2': 5720246.964705885, 'Class_3': 7749772.121568626, 'Class_4': 6173949.129411765, 'Class_5': 1733969.5019607847, 'Class_6': 956855.9882352941, 'Class_7': 35929.439215686274, 'Class_8': 15611.909803921568, 'Class_9': 3104, 'Class_10': 2436}"
"{'Date': '2017-07-20', 'Class_1': 181216.52156862745, 'Class_2': 645839.4705882353, 'Class_3': 1432048.8862745098, 'Class_4': 2077311.6980392158, 'Class_5': 2162413.298039216, 'Class_6': 2448644.858823529, 'Class_7': 3946676.1960784313, 'Class_8': 7364992.8509803945, 'Class_9': 1355796.525490196, 'Class_10': 5895.3725490196075}","{'Date': '2017-07-20', 'Class_1': 2658850.5176470587, 'Class_2': 11036076.301960787, 'Class_3': 2227955.184313725, 'Class_4': 2761529.4901960786, 'Class_5': 2423916.9450980388, 'Class_6': 439905.16078431375, 'Class_7': 56124.07843137255, 'Class_8': 10270, 'Class_9': 3874, 'Class_10': 2334}","{'Date': '2017-07-20', 'Class_1': 14400, 'Class_2': 304002.5607843137, 'Class_3': 947729.8235294118, 'Class_4': 1653911.7019607842, 'Class_5': 1800221.1490196076, 'Class_6': 1333070.4705882354, 'Class_7': 1308966.7411764706, 'Class_8': 1760746.5333333334, 'Class_9': 3685446.6313725486, 'Class_10': 8812340.066666668}","{'Date': '2017-07-20', 'Class_1': 5000, 'Class_2': 1590, 'Class_3': 2391, 'Class_4': 3928, 'Class_5': 39251.572549019606, 'Class_6': 308807.8627450981, 'Class_7': 1676423.5843137256, 'Class_8': 3092351.349019608, 'Class_9': 3312580.1333333333, 'Class_10': 13176340.17647059}","{'Date': '2017-07-20', 'Class_1': 180339.98039215687, 'Class_2': 1187278.6274509802, 'Class_3': 2703852.498039216, 'Class_4': 1614915.1294117647, 'Class_5': 1640308.7960784314, 'Class_6': 2970991.5372549025, 'Class_7': 7241675.388235294, 'Class_8': 3848859.9411764704, 'Class_9': 48277.53725490197, 'Class_10': 179202.5098039216}","{'Date': '2017-07-20', 'Class_1': 9750.756862745098, 'Class_2': 32826.99607843137, 'Class_3': 237704.15686274512, 'Class_4': 1144248, 'Class_5': 2447629.866666667, 'Class_6': 1386475.5960784315, 'Class_7': 6374636.278431374, 'Class_8': 9558604.14117647, 'Class_9': 415449.00784313725, 'Class_10': 13478.878431372548}","{'Date': '2017-07-20', 'Class_1': 2404, 'Class_2': 1912066.3960784313, 'Class_3': 6928068.509803922, 'Class_4': 8224043.882352942, 'Class_5': 2674487.1725490205, 'Class_6': 1836847.8431372552, 'Class_7': 29176.87450980392, 'Class_8': 9233, 'Class_9': 1180, 'Class_10': 856}"
"{'Date': '2017-07-30', 'Class_1': 1731106.8784313723, 'Class_2': 2068403.8235294116, 'Class_3': 1534544.9176470586, 'Class_4': 1164735.462745098, 'Class_5': 1313822.4235294117, 'Class_6': 1788889.0588235296, 'Class_7': 2999052.745098039, 'Class_8': 7253490.874509803, 'Class_9': 2934565.71372549, 'Class_10': 52061.654901960785}","{'Date': '2017-07-30', 'Class_1': 6360126.733333333, 'Class_2': 8957978.521568628, 'Class_3': 1438937.7843137253, 'Class_4': 1626616.066666667, 'Class_5': 3954441.592156863, 'Class_6': 348448.05882352934, 'Class_7': 40331.34117647059, 'Class_8': 28887.788235294116, 'Class_9': 19181.992156862747, 'Class_10': 65723.67450980392}","{'Date': '2017-07-30', 'Class_1': 73295.64705882352, 'Class_2': 466162.18823529413, 'Class_3': 2307286.0313725495, 'Class_4': 1847098.4, 'Class_5': 990060.945098039, 'Class_6': 767401.725490196, 'Class_7': 848934.8156862746, 'Class_8': 1206590.968627451, 'Class_9': 2220469.2901960784, 'Class_10': 12113373.541176466}","{'Date': '2017-07-30', 'Class_1': 36052.05882352941, 'Class_2': 2688.992156862745, 'Class_3': 5003.411764705883, 'Class_4': 7617.035294117647, 'Class_5': 66202.7568627451, 'Class_6': 527872.2784313725, 'Class_7': 3247024.223529411, 'Class_8': 1994236.9921568625, 'Class_9': 2127441.929411765, 'Class_10': 14802924.874509802}","{'Date': '2017-07-30', 'Class_1': 122553.10588235293, 'Class_2': 3361406.6, 'Class_3': 2044835.8235294118, 'Class_4': 1138549.4509803918, 'Class_5': 1584371.474509804, 'Class_6': 3883449.6274509802, 'Class_7': 7548482.705882355, 'Class_8': 3128868.8941176464, 'Class_9': 5677.423529411764, 'Class_10': 21397.44705882353}","{'Date': '2017-07-30', 'Class_1': 71380.64705882352, 'Class_2': 126186.85490196077, 'Class_3': 532863.3725490195, 'Class_4': 831572.4039215685, 'Class_5': 2115089.8274509804, 'Class_6': 2607456.0588235296, 'Class_7': 7639622.1725490205, 'Class_8': 8478521.34117647, 'Class_9': 355377.2235294118, 'Class_10': 79252.65098039215}","{'Date': '2017-07-30', 'Class_1': 976, 'Class_2': 2792721.0117647056, 'Class_3': 6914663.925490198, 'Class_4': 6392822.988235294, 'Class_5': 1747382.5803921567, 'Class_6': 4663089.51764706, 'Class_7': 235388.79215686274, 'Class_8': 18800, 'Class_9': 5827.980392156863, 'Class_10': 4492}"
"{'Date': '2017-08-29', 'Class_1': 3047153.5843137256, 'Class_2': 1224806.2588235294, 'Class_3': 930770.0156862746, 'Class_4': 1088861.521568627, 'Class_5': 1328702.0156862745, 'Class_6': 1745204.3647058823, 'Class_7': 2903002.7019607853, 'Class_8': 7379924.513725488, 'Class_9': 3060433.0941176466, 'Class_10': 77295.76862745098}","{'Date': '2017-08-29', 'Class_1': 6744266.662745098, 'Class_2': 8992576.329411764, 'Class_3': 1530289.8, 'Class_4': 1388424.1882352936, 'Class_5': 3681528.4274509805, 'Class_6': 303392.77647058823, 'Class_7': 39123.31764705882, 'Class_8': 48837.33725490196, 'Class_9': 27817, 'Class_10': 29898}","{'Date': '2017-08-29', 'Class_1': 55171, 'Class_2': 547073.7294117647, 'Class_3': 2187944.9411764704, 'Class_4': 1332237.6392156864, 'Class_5': 874877.1960784314, 'Class_6': 812709.1411764706, 'Class_7': 971823.4117647059, 'Class_8': 1273428.105882353, 'Class_9': 2028853.0509803926, 'Class_10': 12702035.623529414}","{'Date': '2017-08-29', 'Class_1': 27421, 'Class_2': 3492, 'Class_3': 4785, 'Class_4': 7882, 'Class_5': 35321.1137254902, 'Class_6': 821865.0039215686, 'Class_7': 2641162.690196079, 'Class_8': 1669680.549019608, 'Class_9': 2360089.756862745, 'Class_10': 15201553.725490196}","{'Date': '2017-08-29', 'Class_1': 116108.66666666666, 'Class_2': 3072148.5725490195, 'Class_3': 1690949.309803922, 'Class_4': 1301167.2, 'Class_5': 1676381.5450980393, 'Class_6': 4153456.4156862744, 'Class_7': 7108582.678431373, 'Class_8': 3631178.125490195, 'Class_9': 7026.470588235295, 'Class_10': 27935.85490196078}","{'Date': '2017-08-29', 'Class_1': 661675.4705882352, 'Class_2': 786128.8549019607, 'Class_3': 1114278.780392157, 'Class_4': 968576.3803921568, 'Class_5': 611285.4862745098, 'Class_6': 1627714.6980392155, 'Class_7': 7422684.654901963, 'Class_8': 8961012.094117643, 'Class_9': 570722.7568627452, 'Class_10': 58788.66274509804}","{'Date': '2017-08-29', 'Class_1': 92, 'Class_2': 3111646.709803921, 'Class_3': 6802441.05882353, 'Class_4': 6431431.752941176, 'Class_5': 1685485.1137254902, 'Class_6': 4516230.576470587, 'Class_7': 175172.5137254902, 'Class_8': 22582.976470588233, 'Class_9': 6797.61568627451, 'Class_10': 4348}"
"{'Date': '2017-10-01', 'Class_1': 1884111.3333333337, 'Class_2': 1286517.8823529412, 'Class_3': 1086406.443137255, 'Class_4': 1279416.4431372548, 'Class_5': 1736566.509803922, 'Class_6': 2729922.121568627, 'Class_7': 4664528.447058823, 'Class_8': 4928200.164705883, 'Class_9': 1172729.3137254901, 'Class_10': 41180.79607843138}","{'Date': '2017-10-01', 'Class_1': 1517911.074509804, 'Class_2': 10761759.568627449, 'Class_3': 2838843.4784313724, 'Class_4': 1662635.819607843, 'Class_5': 3509628.0156862736, 'Class_6': 386726.10196078435, 'Class_7': 36983.737254901964, 'Class_8': 46282.65882352941, 'Class_9': 26997, 'Class_10': 21812}","{'Date': '2017-10-01', 'Class_1': 45245.64705882353, 'Class_2': 395171.2, 'Class_3': 1580029.1019607845, 'Class_4': 1286443.3647058823, 'Class_5': 1012388.3960784315, 'Class_6': 1096708.0078431373, 'Class_7': 1683614.9843137253, 'Class_8': 2801080.7960784314, 'Class_9': 4718348.7137254905, 'Class_10': 6190549.243137255}","{'Date': '2017-10-01', 'Class_1': 20697.22745098039, 'Class_2': 4020.9686274509804, 'Class_3': 5730.670588235294, 'Class_4': 8161.780392156863, 'Class_5': 27008.541176470586, 'Class_6': 528526.9607843137, 'Class_7': 2103854.8745098044, 'Class_8': 1901906.0509803921, 'Class_9': 4201889.192156863, 'Class_10': 12000182.188235292}","{'Date': '2017-10-01', 'Class_1': 210498.8431372549, 'Class_2': 1675334.0941176473, 'Class_3': 1742843.917647059, 'Class_4': 1267936.125490196, 'Class_5': 1653443.6980392158, 'Class_6': 2799647.349019608, 'Class_7': 4832349.325490195, 'Class_8': 5814676.298039216, 'Class_9': 198672.46274509802, 'Class_10': 599927.6156862744}","{'Date': '2017-10-01', 'Class_1': 354400.062745098, 'Class_2': 646385.588235294, 'Class_3': 1338305.4313725492, 'Class_4': 1257166.5686274508, 'Class_5': 453987.96862745093, 'Class_6': 1012410.0078431374, 'Class_7': 6065986.125490196, 'Class_8': 8097111.556862744, 'Class_9': 1443345.1490196078, 'Class_10': 138454.95294117648}","{'Date': '2017-10-01', 'Class_1': 88, 'Class_2': 2007440.5568627452, 'Class_3': 4639966.125490196, 'Class_4': 8712636.039215686, 'Class_5': 2005147.3686274511, 'Class_6': 3298177.2784313723, 'Class_7': 91287.29019607842, 'Class_8': 22378.80392156863, 'Class_9': 5091, 'Class_10': 3989.9960784313726}"
"{'Date': '2017-10-18', 'Class_1': 637525.2352941177, 'Class_2': 1258593.9137254902, 'Class_3': 1473524.2039215686, 'Class_4': 1825300.7647058822, 'Class_5': 3111452.4588235295, 'Class_6': 6143249.035294117, 'Class_7': 4840952.498039216, 'Class_8': 1238236.9647058826, 'Class_9': 104420.23529411765, 'Class_10': 450.83529411764704}","{'Date': '2017-10-18', 'Class_1': 31907.78431372549, 'Class_2': 4080556.7607843145, 'Class_3': 5371311.611764706, 'Class_4': 4823346.945098039, 'Class_5': 5606074.729411765, 'Class_6': 699267.1294117647, 'Class_7': 19989.18431372549, 'Class_8': 1065, 'Class_9': 183, 'Class_10': 4}","{'Date': '2017-10-18', 'Class_1': 1036, 'Class_2': 210288.39607843137, 'Class_3': 1530422.2823529416, 'Class_4': 1627592.1843137257, 'Class_5': 2289799.282352941, 'Class_6': 3858725.4941176465, 'Class_7': 4719787.701960784, 'Class_8': 3928684.8, 'Class_9': 2007204.8980392157, 'Class_10': 460165.1058823529}","{'Date': '2017-10-18', 'Class_1': 71, 'Class_2': 100, 'Class_3': 284, 'Class_4': 728, 'Class_5': 7768.843137254902, 'Class_6': 283114.294117647, 'Class_7': 2255970.749019608, 'Class_8': 4057771.960784314, 'Class_9': 10451959.070588235, 'Class_10': 3575930.227450981}","{'Date': '2017-10-18', 'Class_1': 922640.0862745097, 'Class_2': 870119.9882352941, 'Class_3': 1681964.1058823531, 'Class_4': 1948068.8784313728, 'Class_5': 2973605.4901960786, 'Class_6': 3276332.1098039215, 'Class_7': 2850036.964705882, 'Class_8': 3905028.423529411, 'Class_9': 351428.1098039216, 'Class_10': 1780770.1215686274}","{'Date': '2017-10-18', 'Class_1': 71125.40784313725, 'Class_2': 653789.5294117647, 'Class_3': 1947031.8392156863, 'Class_4': 2238522.5764705883, 'Class_5': 650922.2274509803, 'Class_6': 276938.5921568627, 'Class_7': 4054453.1764705894, 'Class_8': 8083149.011764707, 'Class_9': 2588202.6823529406, 'Class_10': 69449.1019607843}","{'Date': '2017-10-18', 'Class_1': 8, 'Class_2': 865064.3764705881, 'Class_3': 2962196.078431372, 'Class_4': 12086356.65490196, 'Class_5': 2733419.6705882354, 'Class_6': 1967451.9568627456, 'Class_7': 18336.57254901961, 'Class_8': 727.8352941176471, 'Class_9': 32, 'Class_10': 36}"
"{'Date': '2018-03-20', 'Class_1': 216159.45098039214, 'Class_2': 387790.894117647, 'Class_3': 869338.243137255, 'Class_4': 1384052.3843137254, 'Class_5': 2038044.8235294118, 'Class_6': 3381165.7058823532, 'Class_7': 4026357.3882352947, 'Class_8': 4288718.960784314, 'Class_9': 4109314.1764705884, 'Class_10': 1571592.1725490196}","{'Date': '2018-03-20', 'Class_1': 51676.09803921569, 'Class_2': 1417915.7999999996, 'Class_3': 1195113.9882352941, 'Class_4': 1854099.082352941, 'Class_5': 7150120.815686275, 'Class_6': 9922868.49411765, 'Class_7': 563835.9215686275, 'Class_8': 53010, 'Class_9': 58696, 'Class_10': 5198}","{'Date': '2018-03-20', 'Class_1': 110291, 'Class_2': 6689017.800000001, 'Class_3': 6162804.976470587, 'Class_4': 3619519.019607844, 'Class_5': 1978554.6588235295, 'Class_6': 1135018.6392156864, 'Class_7': 853636.8235294117, 'Class_8': 851267.5215686274, 'Class_9': 665395.082352941, 'Class_10': 207028.67843137254}","{'Date': '2018-03-20', 'Class_1': 48819, 'Class_2': 17578, 'Class_3': 21917, 'Class_4': 21716, 'Class_5': 775405.3098039217, 'Class_6': 6697233.9019607855, 'Class_7': 7461957.717647059, 'Class_8': 3897884.5725490195, 'Class_9': 2175354.2588235294, 'Class_10': 1151889.4392156864}","{'Date': '2018-03-20', 'Class_1': 4298095.760784315, 'Class_2': 2992863.8980392157, 'Class_3': 4691372.890196079, 'Class_4': 2862021.850980393, 'Class_5': 1847213.7098039216, 'Class_6': 1498677.8431372547, 'Class_7': 1083286.9294117647, 'Class_8': 1552611.0784313725, 'Class_9': 183993.54901960783, 'Class_10': 1184160.219607843}","{'Date': '2018-03-20', 'Class_1': 5153221.22745098, 'Class_2': 5894301.549019609, 'Class_3': 4094617.9607843137, 'Class_4': 2352333.1843137257, 'Class_5': 890568.6039215686, 'Class_6': 181522.14901960787, 'Class_7': 221875.34901960782, 'Class_8': 630688.0666666668, 'Class_9': 2154639.2901960784, 'Class_10': 696390.819607843}","{'Date': '2018-03-20', 'Class_1': 3342347.9960784316, 'Class_2': 8824589.635294119, 'Class_3': 3409383.3411764707, 'Class_4': 4493582.729411763, 'Class_5': 1372385.188235294, 'Class_6': 773381.1568627451, 'Class_7': 35344.15294117647, 'Class_8': 13432, 'Class_9': 2340, 'Class_10': 1220}"
"{'Date': '2018-03-30', 'Class_1': 134763.33725490197, 'Class_2': 1445593.0862745096, 'Class_3': 7663763.847058823, 'Class_4': 6520944.674509805, 'Class_5': 2991709.7960784324, 'Class_6': 1098688.6235294119, 'Class_7': 450285.8392156862, 'Class_8': 311740.0980392156, 'Class_9': 263584.7647058824, 'Class_10': 241337.69411764693}","{'Date': '2018-03-30', 'Class_1': 19859.364705882348, 'Class_2': 1161249.7137254898, 'Class_3': 1637834.91372549, 'Class_4': 3721033.549019608, 'Class_5': 12849210.584313726, 'Class_6': 1703654.4117647058, 'Class_7': 26416.223529411767, 'Class_8': 3151, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-03-30', 'Class_1': 3550, 'Class_2': 288048.54509803926, 'Class_3': 3151770.121568627, 'Class_4': 8527866.917647058, 'Class_5': 5142179.250980392, 'Class_6': 2140102.11372549, 'Class_7': 888673.4156862744, 'Class_8': 631031.776470588, 'Class_9': 298691.43529411766, 'Class_10': 50496.18431372549}","{'Date': '2018-03-30', 'Class_1': 1482, 'Class_2': 1297, 'Class_3': 240, 'Class_4': 698, 'Class_5': 18595.556862745096, 'Class_6': 356808.55686274514, 'Class_7': 7270417.674509803, 'Class_8': 10303737.972549018, 'Class_9': 2643696.4078431376, 'Class_10': 525436.5921568627}","{'Date': '2018-03-30', 'Class_1': 836639.4941176471, 'Class_2': 339174.9254901961, 'Class_3': 4762230.345098039, 'Class_4': 5395793.392156864, 'Class_5': 3264246.949019608, 'Class_6': 2094703.0980392157, 'Class_7': 1195053.9176470586, 'Class_8': 1623352.749019607, 'Class_9': 210768.20784313726, 'Class_10': 1330266.4705882352}","{'Date': '2018-03-30', 'Class_1': 180314.92549019607, 'Class_2': 451555.6745098039, 'Class_3': 5067133.984313726, 'Class_4': 6602000.772549019, 'Class_5': 4242573.470588235, 'Class_6': 780148.4470588235, 'Class_7': 1041857.5137254904, 'Class_8': 1758177.8156862748, 'Class_9': 888001.9294117646, 'Class_10': 110501.22745098047}","{'Date': '2018-03-30', 'Class_1': 272723.18823529413, 'Class_2': 501637.7725490193, 'Class_3': 380634.56078431377, 'Class_4': 7133113.678431373, 'Class_5': 8553356.894117646, 'Class_6': 4272232.666666667, 'Class_7': 8501, 'Class_8': 188, 'Class_9': 16, 'Class_10': 4}"
"{'Date': '2018-04-06', 'Class_1': 1406926.8941176466, 'Class_2': 4078347.9294117643, 'Class_3': 6108164.356862743, 'Class_4': 3775431.5294117643, 'Class_5': 2524224.4784313724, 'Class_6': 1812090.7764705888, 'Class_7': 1369421.3568627452, 'Class_8': 971876.0509803921, 'Class_9': 518619.1607843135, 'Class_10': 267612.0196078431}","{'Date': '2018-04-06', 'Class_1': 62553.43137254903, 'Class_2': 6420341.933333333, 'Class_3': 6502496.584313726, 'Class_4': 5733600.39607843, 'Class_5': 3524668.5647058827, 'Class_6': 426047.00784313725, 'Class_7': 29304.188235294117, 'Class_8': 110932.44705882353, 'Class_9': 22429, 'Class_10': 340}","{'Date': '2018-04-06', 'Class_1': 55894.58823529412, 'Class_2': 328303.6431372549, 'Class_3': 1305096.6392156866, 'Class_4': 2641128.6980392155, 'Class_5': 4448535.760784314, 'Class_6': 5254204.333333334, 'Class_7': 3614495.4392156866, 'Class_8': 2234413.5254901964, 'Class_9': 1889784.8980392155, 'Class_10': 1060856.0274509804}","{'Date': '2018-04-06', 'Class_1': 15532, 'Class_2': 7018, 'Class_3': 13130.341176470589, 'Class_4': 23056.24705882353, 'Class_5': 56925.490196078434, 'Class_6': 335384.3098039215, 'Class_7': 2286940.231372549, 'Class_8': 7520740.964705882, 'Class_9': 8985530.474509804, 'Class_10': 3588445.4941176465}","{'Date': '2018-04-06', 'Class_1': 205607.6039215687, 'Class_2': 1485737.901960784, 'Class_3': 6820978.25490196, 'Class_4': 7235100.996078431, 'Class_5': 3500073.5098039214, 'Class_6': 2145209.3882352943, 'Class_7': 1118131.4431372546, 'Class_8': 236646.82352941183, 'Class_9': 11854.72156862745, 'Class_10': 69166.9725490196}","{'Date': '2018-04-06', 'Class_1': 216468.07450980393, 'Class_2': 333590.43137254904, 'Class_3': 499755.22745098034, 'Class_4': 1828916.917647059, 'Class_5': 3641861.0078431373, 'Class_6': 5232012.992156862, 'Class_7': 6985992.886274509, 'Class_8': 3539659.2274509794, 'Class_9': 484505.76470588206, 'Class_10': 69651.02352941179}","{'Date': '2018-04-06', 'Class_1': 231825.38431372546, 'Class_2': 864934.6784313724, 'Class_3': 1076725.8470588236, 'Class_4': 4710475.160784313, 'Class_5': 5316852.501960785, 'Class_6': 10487951.486274507, 'Class_7': 118953.66274509804, 'Class_8': 20215.83137254902, 'Class_9': 3692, 'Class_10': 672}"
