NDWI_I,NDWI_II,NDVI,MSAVI2,EVI,NMDI,MSI
"{'Date': '2017-04-24', 'Class_1': 101.72156862745098, 'Class_2': 91.43137254901961, 'Class_3': 120.54509803921569, 'Class_4': 229, 'Class_5': 334.6274509803921, 'Class_6': 359.45490196078435, 'Class_7': 338.81568627450974, 'Class_8': 293.1764705882353, 'Class_9': 190.32156862745097, 'Class_10': 67.75686274509803}","{'Date': '2017-04-24', 'Class_1': 199.26666666666668, 'Class_2': 1244.2666666666664, 'Class_3': 295.36470588235295, 'Class_4': 134.45882352941175, 'Class_5': 206.52941176470586, 'Class_6': 42.964705882352945, 'Class_7': 2, 'Class_8': 1, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-04-24', 'Class_1': 2, 'Class_2': 21, 'Class_3': 112.88235294117648, 'Class_4': 98.65098039215684, 'Class_5': 73.38039215686274, 'Class_6': 125.53725490196078, 'Class_7': 267.5568627450981, 'Class_8': 387.8392156862745, 'Class_9': 471.66666666666663, 'Class_10': 566.3372549019607}","{'Date': '2017-04-24', 'Class_1': 0, 'Class_2': 1, 'Class_3': 0, 'Class_4': 1, 'Class_5': 0, 'Class_6': 32, 'Class_7': 158.19607843137254, 'Class_8': 136.5921568627451, 'Class_9': 620.1686274509805, 'Class_10': 1177.8941176470591}","{'Date': '2017-04-24', 'Class_1': 4.964705882352941, 'Class_2': 1, 'Class_3': 10, 'Class_4': 57.949019607843134, 'Class_5': 48.96862745098039, 'Class_6': 45.517647058823535, 'Class_7': 20.772549019607844, 'Class_8': 25.941176470588236, 'Class_9': 34.50588235294118, 'Class_10': 110.49803921568628}","{'Date': '2017-04-24', 'Class_1': 241.078431372549, 'Class_2': 22.901960784313726, 'Class_3': 15.968627450980392, 'Class_4': 18.458823529411767, 'Class_5': 91.39607843137253, 'Class_6': 264.0470588235294, 'Class_7': 395.0980392156863, 'Class_8': 434.3294117647059, 'Class_9': 346.1411764705882, 'Class_10': 281.46666666666664}","{'Date': '2017-04-24', 'Class_1': 15.501960784313724, 'Class_2': 355.4862745098038, 'Class_3': 282.23921568627446, 'Class_4': 879.4352941176469, 'Class_5': 345.20784313725494, 'Class_6': 243.98039215686273, 'Class_7': 4, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-05-11', 'Class_1': 150.6235294117647, 'Class_2': 61.003921568627455, 'Class_3': 80.96470588235294, 'Class_4': 97.92941176470589, 'Class_5': 216.33725490196076, 'Class_6': 372.3411764705882, 'Class_7': 528.6392156862745, 'Class_8': 376.1450980392156, 'Class_9': 244.97647058823532, 'Class_10': 85.36470588235295}","{'Date': '2017-05-11', 'Class_1': 242.99607843137255, 'Class_2': 1496.4666666666676, 'Class_3': 154.00392156862742, 'Class_4': 71.6705882352941, 'Class_5': 207.18823529411765, 'Class_6': 29, 'Class_7': 2, 'Class_8': 7, 'Class_9': 2, 'Class_10': 2}","{'Date': '2017-05-11', 'Class_1': 4, 'Class_2': 31, 'Class_3': 142.40784313725487, 'Class_4': 56.745098039215684, 'Class_5': 39.14901960784314, 'Class_6': 60.27058823529413, 'Class_7': 127.38039215686275, 'Class_8': 216.25882352941173, 'Class_9': 575.8470588235294, 'Class_10': 961.2666666666663}","{'Date': '2017-05-11', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 4, 'Class_6': 42, 'Class_7': 158.19215686274507, 'Class_8': 78.64705882352942, 'Class_9': 292.6862745098039, 'Class_10': 1634.800000000001}","{'Date': '2017-05-11', 'Class_1': 7, 'Class_2': 1, 'Class_3': 44, 'Class_4': 86.86274509803923, 'Class_5': 31.80392156862745, 'Class_6': 19.941176470588236, 'Class_7': 27.545098039215688, 'Class_8': 19.662745098039217, 'Class_9': 19, 'Class_10': 49.46274509803922}","{'Date': '2017-05-11', 'Class_1': 182.0156862745098, 'Class_2': 12.882352941176471, 'Class_3': 8.486274509803922, 'Class_4': 12, 'Class_5': 64.12549019607843, 'Class_6': 254.38039215686274, 'Class_7': 491.8627450980391, 'Class_8': 477.48235294117654, 'Class_9': 342.8509803921568, 'Class_10': 309.3215686274509}","{'Date': '2017-05-11', 'Class_1': 0, 'Class_2': 423.57254901960783, 'Class_3': 369.76862745098026, 'Class_4': 1008.7176470588233, 'Class_5': 187.74509803921566, 'Class_6': 216.52156862745093, 'Class_7': 5, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-06-20', 'Class_1': 28.980392156862745, 'Class_2': 64.88235294117646, 'Class_3': 67.72941176470589, 'Class_4': 115.30588235294117, 'Class_5': 134.69803921568626, 'Class_6': 180.79215686274506, 'Class_7': 327.678431372549, 'Class_8': 835.4313725490194, 'Class_9': 407.43529411764706, 'Class_10': 64.15294117647059}","{'Date': '2017-06-20', 'Class_1': 503.2313725490196, 'Class_2': 1298.3176470588242, 'Class_3': 195.95686274509802, 'Class_4': 87.75686274509805, 'Class_5': 94.8549019607843, 'Class_6': 38.96862745098039, 'Class_7': 3, 'Class_8': 3, 'Class_9': 1, 'Class_10': 1}","{'Date': '2017-06-20', 'Class_1': 3, 'Class_2': 30, 'Class_3': 43.37647058823529, 'Class_4': 51.94117647058823, 'Class_5': 52.188235294117646, 'Class_6': 91.01176470588234, 'Class_7': 121.71372549019605, 'Class_8': 189.29803921568626, 'Class_9': 416.1803921568627, 'Class_10': 1228.3764705882354}","{'Date': '2017-06-20', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 4, 'Class_6': 33, 'Class_7': 61.37647058823529, 'Class_8': 102.8078431372549, 'Class_9': 309.84313725490193, 'Class_10': 1713.0588235294126}","{'Date': '2017-06-20', 'Class_1': 6, 'Class_2': 5, 'Class_3': 14, 'Class_4': 23.980392156862745, 'Class_5': 22.866666666666667, 'Class_6': 26.501960784313724, 'Class_7': 21, 'Class_8': 20.780392156862746, 'Class_9': 32.92941176470588, 'Class_10': 65.54901960784314}","{'Date': '2017-06-20', 'Class_1': 130.2235294117647, 'Class_2': 18.501960784313724, 'Class_3': 11, 'Class_4': 21.67843137254902, 'Class_5': 69.5764705882353, 'Class_6': 125.43529411764705, 'Class_7': 358.82745098039214, 'Class_8': 710.2156862745097, 'Class_9': 399.14117647058816, 'Class_10': 374.48627450980393}","{'Date': '2017-06-20', 'Class_1': 20.415686274509802, 'Class_2': 583.7176470588234, 'Class_3': 753.7647058823526, 'Class_4': 590.2705882352941, 'Class_5': 176.27450980392157, 'Class_6': 96.64313725490196, 'Class_7': 3, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-07-20', 'Class_1': 18.72156862745098, 'Class_2': 60.752941176470586, 'Class_3': 145.0392156862745, 'Class_4': 209.3254901960784, 'Class_5': 204.76470588235293, 'Class_6': 249.95686274509802, 'Class_7': 379.9843137254902, 'Class_8': 728.6745098039214, 'Class_9': 139.06666666666666, 'Class_10': 0}","{'Date': '2017-07-20', 'Class_1': 259.69019607843126, 'Class_2': 1076.36862745098, 'Class_3': 249.81176470588235, 'Class_4': 262.9019607843137, 'Class_5': 240.51372549019612, 'Class_6': 39, 'Class_7': 7, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}","{'Date': '2017-07-20', 'Class_1': 2, 'Class_2': 27, 'Class_3': 93.02745098039216, 'Class_4': 164.67843137254906, 'Class_5': 176.74901960784314, 'Class_6': 137.87843137254902, 'Class_7': 133.47450980392156, 'Class_8': 175.78039215686272, 'Class_9': 341.5999999999999, 'Class_10': 884.0980392156862}","{'Date': '2017-07-20', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 4, 'Class_6': 28, 'Class_7': 170.4509803921569, 'Class_8': 303.85490196078433, 'Class_9': 338.95294117647063, 'Class_10': 1289.0274509803921}","{'Date': '2017-07-20', 'Class_1': 10, 'Class_2': 4, 'Class_3': 9, 'Class_4': 44.52156862745098, 'Class_5': 56.9921568627451, 'Class_6': 71.40392156862745, 'Class_7': 76.2235294117647, 'Class_8': 76.32549019607843, 'Class_9': 49.10588235294117, 'Class_10': 96.1686274509804}","{'Date': '2017-07-20', 'Class_1': 138.4823529411765, 'Class_2': 109.81176470588235, 'Class_3': 123.70980392156862, 'Class_4': 86.71764705882353, 'Class_5': 53.32941176470588, 'Class_6': 158.86666666666667, 'Class_7': 484.7568627450981, 'Class_8': 663.2313725490197, 'Class_9': 271.89411764705886, 'Class_10': 43.48627450980391}","{'Date': '2017-07-20', 'Class_1': 0, 'Class_2': 210.6627450980392, 'Class_3': 685.5647058823528, 'Class_4': 780.349019607843, 'Class_5': 277.9176470588235, 'Class_6': 178.79215686274512, 'Class_7': 2, 'Class_8': 0, 'Class_9': 1, 'Class_10': 0}"
"{'Date': '2017-07-30', 'Class_1': 152.23529411764707, 'Class_2': 226.23921568627455, 'Class_3': 159.59215686274507, 'Class_4': 128.72156862745098, 'Class_5': 106.48627450980392, 'Class_6': 166.65098039215687, 'Class_7': 277.67058823529413, 'Class_8': 702.6039215686275, 'Class_9': 320.72156862745095, 'Class_10': 5.968627450980392}","{'Date': '2017-07-30', 'Class_1': 644.6549019607843, 'Class_2': 862.8431372549019, 'Class_3': 132.86274509803923, 'Class_4': 160.61176470588236, 'Class_5': 389.9176470588235, 'Class_6': 42, 'Class_7': 4, 'Class_8': 3, 'Class_9': 1, 'Class_10': 6}","{'Date': '2017-07-30', 'Class_1': 7, 'Class_2': 46, 'Class_3': 241.67450980392158, 'Class_4': 184.62745098039213, 'Class_5': 103.42745098039215, 'Class_6': 67.39607843137256, 'Class_7': 73.58039215686274, 'Class_8': 102.70588235294117, 'Class_9': 220.91764705882352, 'Class_10': 1199.5607843137254}","{'Date': '2017-07-30', 'Class_1': 0, 'Class_2': 0, 'Class_3': 1, 'Class_4': 1, 'Class_5': 4, 'Class_6': 58, 'Class_7': 332.1372549019608, 'Class_8': 197.2313725490196, 'Class_9': 190.40392156862742, 'Class_10': 1458.117647058824}","{'Date': '2017-07-30', 'Class_1': 2, 'Class_2': 9, 'Class_3': 50, 'Class_4': 160.73333333333335, 'Class_5': 119.9764705882353, 'Class_6': 80.85098039215687, 'Class_7': 62, 'Class_8': 44.882352941176464, 'Class_9': 41.74901960784314, 'Class_10': 42.44313725490196}","{'Date': '2017-07-30', 'Class_1': 157.19607843137254, 'Class_2': 66.59215686274511, 'Class_3': 149.46274509803922, 'Class_4': 130.1764705882353, 'Class_5': 130.06666666666666, 'Class_6': 193.64705882352942, 'Class_7': 533.6274509803922, 'Class_8': 604.964705882353, 'Class_9': 221.4627450980392, 'Class_10': 47.69411764705882}","{'Date': '2017-07-30', 'Class_1': 0, 'Class_2': 311.9176470588235, 'Class_3': 660.3372549019608, 'Class_4': 591.8039215686273, 'Class_5': 184.30588235294115, 'Class_6': 470.10196078431363, 'Class_7': 20.423529411764704, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-08-29', 'Class_1': 299.71372549019605, 'Class_2': 136.5921568627451, 'Class_3': 108.63529411764706, 'Class_4': 96.87450980392157, 'Class_5': 124.64313725490197, 'Class_6': 158.39607843137256, 'Class_7': 280.61568627450976, 'Class_8': 699.3960784313724, 'Class_9': 324.57647058823517, 'Class_10': 10}","{'Date': '2017-08-29', 'Class_1': 698.835294117647, 'Class_2': 826.9960784313723, 'Class_3': 157.0705882352941, 'Class_4': 138.03137254901958, 'Class_5': 376.50980392156856, 'Class_6': 31, 'Class_7': 2, 'Class_8': 5, 'Class_9': 1, 'Class_10': 3}","{'Date': '2017-08-29', 'Class_1': 4, 'Class_2': 56.65882352941177, 'Class_3': 216.33333333333334, 'Class_4': 132.78823529411764, 'Class_5': 101.70196078431373, 'Class_6': 70.5764705882353, 'Class_7': 98.89019607843137, 'Class_8': 120.31372549019608, 'Class_9': 192.88627450980388, 'Class_10': 1245.294117647059}","{'Date': '2017-08-29', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 1, 'Class_5': 5, 'Class_6': 81.41176470588233, 'Class_7': 261.68627450980387, 'Class_8': 185.36470588235295, 'Class_9': 228.06666666666666, 'Class_10': 1473.9137254901968}","{'Date': '2017-08-29', 'Class_1': 11, 'Class_2': 5, 'Class_3': 86.17254901960783, 'Class_4': 130.82745098039217, 'Class_5': 83.99215686274509, 'Class_6': 65.27450980392157, 'Class_7': 41.654901960784315, 'Class_8': 36.266666666666666, 'Class_9': 35.909803921568624, 'Class_10': 65.4235294117647}","{'Date': '2017-08-29', 'Class_1': 295.5019607843137, 'Class_2': 25.95294117647059, 'Class_3': 30, 'Class_4': 71.87843137254902, 'Class_5': 94.29019607843138, 'Class_6': 187.9137254901961, 'Class_7': 543.9725490196078, 'Class_8': 577.9254901960785, 'Class_9': 276.4901960784314, 'Class_10': 59.549019607843135}","{'Date': '2017-08-29', 'Class_1': 0, 'Class_2': 319.8666666666666, 'Class_3': 658.2431372549019, 'Class_4': 603.4235294117648, 'Class_5': 166.82745098039214, 'Class_6': 471.3607843137254, 'Class_7': 16.72156862745098, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2017-10-01', 'Class_1': 194.87450980392157, 'Class_2': 139.9607843137255, 'Class_3': 116.27843137254902, 'Class_4': 110.09411764705882, 'Class_5': 175.2627450980392, 'Class_6': 268.4745098039216, 'Class_7': 443.8549019607843, 'Class_8': 471.40392156862737, 'Class_9': 124.73725490196077, 'Class_10': 2}","{'Date': '2017-10-01', 'Class_1': 163.54901960784315, 'Class_2': 1037.298039215686, 'Class_3': 271.7176470588235, 'Class_4': 154.68235294117645, 'Class_5': 367.69411764705876, 'Class_6': 41, 'Class_7': 4, 'Class_8': 4, 'Class_9': 2, 'Class_10': 1}","{'Date': '2017-10-01', 'Class_1': 4, 'Class_2': 38, 'Class_3': 166.9450980392157, 'Class_4': 140.65098039215684, 'Class_5': 99.81176470588235, 'Class_6': 98.54901960784314, 'Class_7': 151.49411764705883, 'Class_8': 274.1607843137255, 'Class_9': 452.5764705882352, 'Class_10': 620.7529411764706}","{'Date': '2017-10-01', 'Class_1': 0, 'Class_2': 0, 'Class_3': 1, 'Class_4': 1, 'Class_5': 3, 'Class_6': 50, 'Class_7': 232.65490196078431, 'Class_8': 190.34901960784313, 'Class_9': 390.5529411764706, 'Class_10': 1176.3843137254903}","{'Date': '2017-10-01', 'Class_1': 11, 'Class_2': 3, 'Class_3': 36.462745098039214, 'Class_4': 70.01176470588236, 'Class_5': 66.41176470588235, 'Class_6': 53.8, 'Class_7': 58.113725490196074, 'Class_8': 35.28235294117647, 'Class_9': 39.501960784313724, 'Class_10': 63.16470588235295}","{'Date': '2017-10-01', 'Class_1': 326.4549019607843, 'Class_2': 35.41176470588235, 'Class_3': 20, 'Class_4': 25.10588235294118, 'Class_5': 62.811764705882354, 'Class_6': 189.05882352941177, 'Class_7': 404.94117647058823, 'Class_8': 463.8039215686274, 'Class_9': 312.10588235294114, 'Class_10': 163.89411764705883}","{'Date': '2017-10-01', 'Class_1': 0, 'Class_2': 217.39607843137256, 'Class_3': 429.7882352941177, 'Class_4': 842.9568627450979, 'Class_5': 198.67843137254903, 'Class_6': 342.4470588235294, 'Class_7': 11.67450980392157, 'Class_8': 0, 'Class_9': 0, 'Class_10': 1}"
"{'Date': '2017-10-18', 'Class_1': 72.18039215686275, 'Class_2': 141.76862745098038, 'Class_3': 143.04313725490195, 'Class_4': 170.84313725490196, 'Class_5': 312.078431372549, 'Class_6': 574.3490196078432, 'Class_7': 485.0078431372549, 'Class_8': 125.21568627450979, 'Class_9': 6.972549019607843, 'Class_10': 0}","{'Date': '2017-10-18', 'Class_1': 1, 'Class_2': 378.7411764705882, 'Class_3': 523.4156862745098, 'Class_4': 467.5686274509804, 'Class_5': 592.8039215686275, 'Class_6': 66.92941176470589, 'Class_7': 1, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 21, 'Class_3': 153.74901960784314, 'Class_4': 186.09803921568627, 'Class_5': 228.35294117647055, 'Class_6': 367.75686274509803, 'Class_7': 464.4901960784314, 'Class_8': 386.24313725490185, 'Class_9': 172.96470588235292, 'Class_10': 50.803921568627445}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 0, 'Class_6': 31, 'Class_7': 239.99607843137252, 'Class_8': 412.7254901960785, 'Class_9': 1032.7803921568625, 'Class_10': 314.95686274509796}","{'Date': '2017-10-18', 'Class_1': 11, 'Class_2': 0, 'Class_3': 11.67843137254902, 'Class_4': 37.21176470588235, 'Class_5': 43.59607843137255, 'Class_6': 47.42745098039216, 'Class_7': 46.36078431372549, 'Class_8': 45.615686274509805, 'Class_9': 39.113725490196074, 'Class_10': 90.12549019607843}","{'Date': '2017-10-18', 'Class_1': 513.1686274509805, 'Class_2': 36.54509803921569, 'Class_3': 23.764705882352942, 'Class_4': 3, 'Class_5': 10, 'Class_6': 95.82745098039216, 'Class_7': 314.45882352941175, 'Class_8': 443.15686274509795, 'Class_9': 306.7725490196078, 'Class_10': 276.76470588235287}","{'Date': '2017-10-18', 'Class_1': 0, 'Class_2': 87.48627450980393, 'Class_3': 285.93333333333334, 'Class_4': 1180.2901960784313, 'Class_5': 266.2039215686275, 'Class_6': 209.8705882352941, 'Class_7': 1.6745098039215685, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-03-20', 'Class_1': 19, 'Class_2': 38.95294117647059, 'Class_3': 76.2156862745098, 'Class_4': 159.04313725490195, 'Class_5': 216.0980392156863, 'Class_6': 340.1333333333334, 'Class_7': 390.46666666666664, 'Class_8': 401.5294117647059, 'Class_9': 396.9999999999999, 'Class_10': 156.31372549019608}","{'Date': '2018-03-20', 'Class_1': 5, 'Class_2': 130.53333333333336, 'Class_3': 124.29019607843136, 'Class_4': 201.66666666666669, 'Class_5': 723.635294117647, 'Class_6': 945.4470588235296, 'Class_7': 53.18039215686275, 'Class_8': 4, 'Class_9': 6, 'Class_10': 1}","{'Date': '2018-03-20', 'Class_1': 9, 'Class_2': 637.819607843137, 'Class_3': 615.7999999999998, 'Class_4': 343.2627450980392, 'Class_5': 232.72156862745098, 'Class_6': 99.60392156862746, 'Class_7': 95.18431372549018, 'Class_8': 89.37647058823528, 'Class_9': 52.98431372549019, 'Class_10': 19}","{'Date': '2018-03-20', 'Class_1': 3, 'Class_2': 1, 'Class_3': 0, 'Class_4': 2, 'Class_5': 90.38823529411764, 'Class_6': 616.505882352941, 'Class_7': 747.9843137254903, 'Class_8': 416.53725490196075, 'Class_9': 213.11764705882354, 'Class_10': 101.21960784313725}","{'Date': '2018-03-20', 'Class_1': 212.30588235294115, 'Class_2': 54.8235294117647, 'Class_3': 69.6313725490196, 'Class_4': 92.37254901960783, 'Class_5': 88.90588235294118, 'Class_6': 125.59215686274509, 'Class_7': 121.38823529411765, 'Class_8': 110.79215686274509, 'Class_9': 97.06666666666666, 'Class_10': 170.10980392156864}","{'Date': '2018-03-20', 'Class_1': 1224.5176470588237, 'Class_2': 58.66666666666666, 'Class_3': 32.75686274509804, 'Class_4': 10, 'Class_5': 3, 'Class_6': 7, 'Class_7': 15.533333333333335, 'Class_8': 22.26274509803922, 'Class_9': 39.93333333333333, 'Class_10': 268.4196078431372}","{'Date': '2018-03-20', 'Class_1': 337.1294117647058, 'Class_2': 829.3960784313724, 'Class_3': 344.01176470588234, 'Class_4': 463.2705882352941, 'Class_5': 144.1647058823529, 'Class_6': 72.78039215686275, 'Class_7': 2, 'Class_8': 0, 'Class_9': 0, 'Class_10': 1}"
"{'Date': '2018-03-30', 'Class_1': 10, 'Class_2': 148.74509803921566, 'Class_3': 752.1843137254899, 'Class_4': 639.2627450980392, 'Class_5': 295.3058823529411, 'Class_6': 108.49019607843137, 'Class_7': 33.8078431372549, 'Class_8': 30.439215686274512, 'Class_9': 30.921568627450984, 'Class_10': 21.709803921568632}","{'Date': '2018-03-30', 'Class_1': 1, 'Class_2': 104.89411764705883, 'Class_3': 176.6235294117647, 'Class_4': 383.9686274509803, 'Class_5': 1231.839215686275, 'Class_6': 169.6, 'Class_7': 1.9411764705882353, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-03-30', 'Class_1': 1, 'Class_2': 20.905882352941177, 'Class_3': 331.26666666666665, 'Class_4': 804.486274509804, 'Class_5': 509.0980392156863, 'Class_6': 227.65098039215687, 'Class_7': 91.72156862745098, 'Class_8': 51.71764705882353, 'Class_9': 29.133333333333336, 'Class_10': 3.8862745098039215}","{'Date': '2018-03-30', 'Class_1': 0, 'Class_2': 1, 'Class_3': 0, 'Class_4': 0, 'Class_5': 1.9411764705882353, 'Class_6': 28.96470588235294, 'Class_7': 709.3411764705882, 'Class_8': 1007.1058823529411, 'Class_9': 271.77647058823527, 'Class_10': 50.73725490196079}","{'Date': '2018-03-30', 'Class_1': 3, 'Class_2': 0, 'Class_3': 2.9411764705882355, 'Class_4': 10, 'Class_5': 20.984313725490196, 'Class_6': 43.67843137254902, 'Class_7': 100.99607843137255, 'Class_8': 151.42352941176466, 'Class_9': 173.58823529411762, 'Class_10': 303.3490196078431}","{'Date': '2018-03-30', 'Class_1': 1181.5607843137261, 'Class_2': 240.59999999999997, 'Class_3': 178.7529411764706, 'Class_4': 45.95294117647059, 'Class_5': 28, 'Class_6': 55.89019607843137, 'Class_7': 51.44313725490196, 'Class_8': 89.92941176470589, 'Class_9': 83.79607843137255, 'Class_10': 101.05098039215684}","{'Date': '2018-03-30', 'Class_1': 28.34117647058824, 'Class_2': 48.72941176470587, 'Class_3': 28, 'Class_4': 703.1882352941175, 'Class_5': 844.8313725490195, 'Class_6': 416.77647058823527, 'Class_7': 1, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-04-06', 'Class_1': 151.13725490196077, 'Class_2': 401.26274509803915, 'Class_3': 581.2784313725491, 'Class_4': 381.29803921568623, 'Class_5': 251.45882352941177, 'Class_6': 153.1450980392157, 'Class_7': 154.60392156862744, 'Class_8': 90.74509803921568, 'Class_9': 54.494117647058815, 'Class_10': 26.466666666666672}","{'Date': '2018-04-06', 'Class_1': 8, 'Class_2': 646.8862745098038, 'Class_3': 633.2117647058823, 'Class_4': 546.4823529411765, 'Class_5': 349.90588235294115, 'Class_6': 48.40392156862745, 'Class_7': 3, 'Class_8': 7, 'Class_9': 3, 'Class_10': 0}","{'Date': '2018-04-06', 'Class_1': 4, 'Class_2': 33.94117647058823, 'Class_3': 150.67450980392158, 'Class_4': 230.08235294117645, 'Class_5': 453.07450980392156, 'Class_6': 511.6941176470588, 'Class_7': 338.81176470588224, 'Class_8': 233.2549019607843, 'Class_9': 184.32941176470587, 'Class_10': 106.02745098039216}","{'Date': '2018-04-06', 'Class_1': 0, 'Class_2': 1, 'Class_3': 1, 'Class_4': 0, 'Class_5': 4, 'Class_6': 33.94117647058823, 'Class_7': 239.23137254901962, 'Class_8': 729.8235294117645, 'Class_9': 876.98431372549, 'Class_10': 357.9098039215686}","{'Date': '2018-04-06', 'Class_1': 9, 'Class_2': 3, 'Class_3': 13, 'Class_4': 61.984313725490196, 'Class_5': 91.8313725490196, 'Class_6': 85.16470588235295, 'Class_7': 147.55294117647057, 'Class_8': 181.24705882352941, 'Class_9': 219.6588235294118, 'Class_10': 434.5058823529412}","{'Date': '2018-04-06', 'Class_1': 272.96470588235286, 'Class_2': 190.6, 'Class_3': 173.63921568627447, 'Class_4': 234.38823529411764, 'Class_5': 283.3647058823529, 'Class_6': 322.81960784313725, 'Class_7': 328.41568627450977, 'Class_8': 240.95686274509802, 'Class_9': 119.68627450980394, 'Class_10': 55.09019607843136}","{'Date': '2018-04-06', 'Class_1': 19.007843137254905, 'Class_2': 84.88627450980393, 'Class_3': 111.078431372549, 'Class_4': 453.2274509803922, 'Class_5': 546.1999999999998, 'Class_6': 1020.4901960784313, 'Class_7': 10, 'Class_8': 1, 'Class_9': 0, 'Class_10': 0}"
"{'Date': '2018-04-09', 'Class_1': 197.65882352941176, 'Class_2': 354.9843137254901, 'Class_3': 539.7921568627451, 'Class_4': 393.3647058823529, 'Class_5': 246.9333333333333, 'Class_6': 200.60392156862744, 'Class_7': 165.41176470588235, 'Class_8': 83.61960784313725, 'Class_9': 35.682352941176475, 'Class_10': 28.839215686274514}","{'Date': '2018-04-09', 'Class_1': 0, 'Class_2': 561.9137254901959, 'Class_3': 638.3411764705882, 'Class_4': 560.635294117647, 'Class_5': 419.52156862745096, 'Class_6': 54.478431372549025, 'Class_7': 10, 'Class_8': 2, 'Class_9': 0, 'Class_10': 0}","{'Date': '2018-04-09', 'Class_1': 0, 'Class_2': 37.96862745098039, 'Class_3': 177.18823529411765, 'Class_4': 198.50588235294111, 'Class_5': 410.11764705882354, 'Class_6': 521.8509803921569, 'Class_7': 358.8627450980391, 'Class_8': 274.64313725490194, 'Class_9': 233.02352941176468, 'Class_10': 34.72941176470589}","{'Date': '2018-04-09', 'Class_1': 0, 'Class_2': 0, 'Class_3': 0, 'Class_4': 0, 'Class_5': 3, 'Class_6': 47.96862745098039, 'Class_7': 245.4862745098039, 'Class_8': 676.0588235294116, 'Class_9': 928.6784313725491, 'Class_10': 345.6980392156862}","{'Date': '2018-04-09', 'Class_1': 13, 'Class_2': 3, 'Class_3': 11, 'Class_4': 65.92941176470588, 'Class_5': 74.2078431372549, 'Class_6': 77.90196078431373, 'Class_7': 74.28627450980392, 'Class_8': 139.35686274509803, 'Class_9': 153.02745098039213, 'Class_10': 387.44705882352946}","{'Date': '2018-04-09', 'Class_1': 367.6039215686274, 'Class_2': 119.47450980392156, 'Class_3': 111.47058823529412, 'Class_4': 223.21960784313723, 'Class_5': 325.113725490196, 'Class_6': 325.7333333333333, 'Class_7': 328.8274509803921, 'Class_8': 264.48627450980393, 'Class_9': 113.86274509803921, 'Class_10': 29.09803921568628}","{'Date': '2018-04-09', 'Class_1': 18.286274509803924, 'Class_2': 66.74117647058821, 'Class_3': 103.24313725490194, 'Class_4': 508.6392156862745, 'Class_5': 553.870588235294, 'Class_6': 990.1098039215685, 'Class_7': 6, 'Class_8': 0, 'Class_9': 0, 'Class_10': 0}"
